Metadata_target_list_split_compact,Metadata_broad_sample
CASP3,BRD-K61918008-001-07-1
CATSPER1|CATSPER2|CATSPER3|CATSPER4,BRD-K78122587-300-04-3
CCND1,BRD-K05531427-001-01-7
CCND1,BRD-K72726508-001-02-1
CCNE1|MET,BRD-K34581968-001-05-3
CCR1,BRD-K68982262-001-01-4
CCR1,BRD-K91825936-001-03-9
CDC25A|CDC25B,BRD-K03109492-001-02-2
CDC25A|CDC25B,BRD-K68143200-001-11-7
CDC25C,BRD-K03109492-001-02-2
CDC42BPA|DMPK|LIMK1|MYLK|PKN1|ROCK2,BRD-K19333160-001-01-3
CDK1,BRD-K07762753-001-05-1
CDK1,BRD-K14560436-001-01-4
CDK1,BRD-K20986415-001-02-6
CDK1,BRD-K50836978-001-03-3
CDK1,BRD-K64800655-001-09-0
CDK2,BRD-K06426971-001-02-7
CDK2,BRD-K62949423-001-03-1
CDK2,BRD-K07762753-001-05-1
CDK2,BRD-K14560436-001-01-4
CDK2,BRD-K20986415-001-02-6
CDK2,BRD-K34581968-001-05-3
CDK2,BRD-K50836978-001-03-3
CDK2,BRD-K64800655-001-09-0
CDK3|MAP3K7,BRD-K20986415-001-02-6
CDK4,BRD-K06426971-001-02-7
CDK4,BRD-K62949423-001-03-1
CDK4,BRD-K20986415-001-02-6
CDK4,BRD-K50836978-001-03-3
CDK4,BRD-K64800655-001-09-0
CDK4,BRD-K72726508-001-02-1
CDK5,BRD-K07762753-001-05-1
CDK5,BRD-K20986415-001-02-6
CDK5,BRD-K50836978-001-03-3
CDK5,BRD-K64800655-001-09-0
CDK6,BRD-K07762753-001-05-1
CDK6,BRD-K20986415-001-02-6
CDK7|CDK9,BRD-K14560436-001-01-4
CDK7|CDK9,BRD-K20986415-001-02-6
CDK7|CDK9,BRD-K64800655-001-09-0
CFTR,BRD-A30815329-001-12-1
CFTR,BRD-A58048407-001-20-4
CFTR,BRD-K36927236-001-36-7
CHEK1,BRD-A37704979-001-12-3
CHEK1,BRD-K45293975-001-02-0
CHEK1,BRD-K54330070-001-19-6
CHEK1,BRD-K62810658-001-11-4
CHEK1,BRD-K86525559-001-07-8
CHEK2,BRD-K86525559-001-07-8
CHRM1|CHRM2|CHRM3|CHRM4,BRD-A48180038-003-24-3
CHRM1|CHRM2|CHRM3|CHRM4,BRD-K18895904-001-16-1
CHRM1|CHRM2|CHRM3|CHRM4,BRD-K68982262-001-01-4
CHRM1|CHRM2|CHRM3|CHRM4,BRD-K70358946-001-17-3
CHRM1|CHRM2|CHRM3|CHRM4,BRD-K72815923-034-02-0
CHRM5,BRD-A48180038-003-24-3
CHRM5,BRD-K18895904-001-16-1
CHRM5,BRD-K70358946-001-17-3
CHRM5,BRD-K72815923-034-02-0
CHRNA2|RYR1|RYR2|SCN10A|SLC6A3,BRD-K24616672-003-20-1
CHUK|IKBKB|SLC7A11,BRD-K10670311-001-17-1
CHUK|IKBKB|SLC7A11,BRD-K59058747-001-19-1
CLCN1|CLCNKA|CLCNKB|PLA2G4A|UGT1A9,BRD-K98763141-001-30-8
CLK1|CLK4,BRD-K97072811-001-11-4
CMA1,BRD-K59325863-001-04-4
CNR1|CNR2|GPR18|GPR55|KCNK3|KCNK9|TRPM8|TRPV1,BRD-K42352790-001-05-3
COMT,BRD-K08953028-001-09-6
COMT,BRD-K12102668-001-25-5
CSF1R,BRD-K15819326-001-01-6
CSF1R,BRD-K74514084-003-09-2
CSF1R,BRD-K86930074-001-05-0
CSK,BRD-K25244359-066-02-6
CSK,BRD-K50495309-001-02-0
CSNK1G3|RPS6KA1,BRD-K50836978-001-03-3
CTSG,BRD-K59325863-001-04-4
CTSG,BRD-K91188791-001-17-5
CYP1A1|CYP2A13,BRD-K63430059-001-16-4
CYP1A2,BRD-K15502390-001-20-9
CYP1A2,BRD-K63430059-001-16-4
CYP2A6,BRD-K15502390-001-20-9
CYP2A6,BRD-K23913458-001-20-7
CYP2A6,BRD-K63430059-001-16-4
CYP2B6|CYP2C9|CYP3A5,BRD-K15502390-001-20-9
CYP2D6,BRD-A37704979-001-12-3
CYP2D6,BRD-K15502390-001-20-9
CYP2D6,BRD-K36740062-001-06-6
CYP3A4,BRD-A37704979-001-12-3
CYP3A4,BRD-K15502390-001-20-9
CYP3A4,BRD-K34581968-001-05-3
CYP3A4,BRD-K36740062-001-06-6
CYP3A4,BRD-K59325863-001-04-4
CYP3A4,BRD-K63430059-001-16-4
CYP3A4,BRD-K97010173-001-04-1
