Metadata_target_list_split_compact,Metadata_broad_sample
CA4,BRD-K23913458-001-20-7
CA4,BRD-K74913225-001-14-0
CA4,BRD-K76792669-001-08-1
CA5A|CA7,BRD-K18131774-001-18-4
CA5A|CA7,BRD-K74913225-001-14-0
CA6|CA9,BRD-K09295674-001-09-8
CA6|CA9,BRD-K18131774-001-18-4
CA6|CA9,BRD-K23913458-001-20-7
CACNA1A,BRD-A86665761-001-01-1
CACNA1A,BRD-A91008255-003-24-8
CACNA1A,BRD-K61250553-003-30-6
CACNA1B,BRD-A22032524-074-09-9
CACNA1B,BRD-A86665761-001-01-1
CACNA1C,BRD-A22032524-074-09-9
CACNA1C,BRD-A30815329-001-12-1
CACNA1C,BRD-A58048407-001-20-4
CACNA1C,BRD-A69636825-003-04-7
CACNA1C,BRD-A74391928-051-03-9
CACNA1C,BRD-A84687895-001-03-2
CACNA1C,BRD-A86665761-001-01-1
CACNA1D|CACNB2,BRD-A22032524-074-09-9
CACNA1D|CACNB2,BRD-A30815329-001-12-1
CACNA1D|CACNB2,BRD-A58048407-001-20-4
CACNA1D|CACNB2,BRD-A84687895-001-03-2
CACNA1D|CACNB2,BRD-A86665761-001-01-1
CACNA1E|CACNA2D4|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,BRD-A86665761-001-01-1
CACNA1F,BRD-A22032524-074-09-9
CACNA1F,BRD-A30815329-001-12-1
CACNA1F,BRD-A58048407-001-20-4
CACNA1F,BRD-A86665761-001-01-1
CACNA1G|CACNA1I,BRD-A86665761-001-01-1
CACNA1G|CACNA1I,BRD-K42352790-001-05-3
CACNA1H,BRD-A30815329-001-12-1
CACNA1H,BRD-A86665761-001-01-1
CACNA1H,BRD-A91008255-003-24-8
CACNA1H,BRD-K42352790-001-05-3
CACNA1S,BRD-A22032524-074-09-9
CACNA1S,BRD-A30815329-001-12-1
CACNA1S,BRD-A58048407-001-20-4
CACNA1S,BRD-A69636825-003-04-7
CACNA1S,BRD-A84687895-001-03-2
CACNA1S,BRD-A86665761-001-01-1
CACNA2D1,BRD-A18992208-003-02-7
CACNA2D1,BRD-A22032524-074-09-9
CACNA2D1,BRD-A30815329-001-12-1
CACNA2D1,BRD-A69636825-003-04-7
CACNA2D1,BRD-A74391928-051-03-9
CACNA2D1,BRD-A84687895-001-03-2
CACNA2D1,BRD-A86665761-001-01-1
CACNA2D2,BRD-A30815329-001-12-1
CACNA2D2,BRD-A86665761-001-01-1
CACNA2D2,BRD-A91008255-003-24-8
CACNA2D3,BRD-A22032524-074-09-9
CACNA2D3,BRD-A84687895-001-03-2
CACNA2D3,BRD-A86665761-001-01-1
CACNB1,BRD-A22032524-074-09-9
CACNB1,BRD-A58048407-001-20-4
CACNB1,BRD-A74391928-051-03-9
CACNB1,BRD-A86665761-001-01-1
CACNB3|CACNB4,BRD-A58048407-001-20-4
CACNB3|CACNB4,BRD-A86665761-001-01-1
CACNG1,BRD-A18992208-003-02-7
CACNG1,BRD-A69636825-003-04-7
CACNG1,BRD-A74391928-051-03-9
CACNG1,BRD-A86665761-001-01-1
CALM1,BRD-A30815329-001-12-1
CALM1,BRD-A31564021-001-02-6
CALM1,BRD-A91008255-003-24-8
CALM1,BRD-K61250553-003-30-6
CAMLG|PPP3R2|SLC10A1,BRD-K13533483-001-16-2
CASP1|CYCS,BRD-A69651145-003-11-4
CASP3,BRD-A69651145-003-11-4
CASP3,BRD-A93477898-001-04-2
CASP3,BRD-K61918008-001-07-1
CATSPER1|CATSPER2|CATSPER3|CATSPER4,BRD-K26521938-001-07-2
CATSPER1|CATSPER2|CATSPER3|CATSPER4,BRD-K78122587-300-04-3
CCND1,BRD-K05531427-001-01-7
CCND1,BRD-K72726508-001-02-1
CCNE1,BRD-K34581968-001-05-3
CCR1,BRD-K68982262-001-01-4
CCR1,BRD-K91825936-001-03-9
CDC25A|CDC25B,BRD-K03109492-001-02-2
CDC25A|CDC25B,BRD-K68143200-001-11-7
CDC25C,BRD-K03109492-001-02-2
CDC42BPA|DMPK|LIMK1|MYLK|PKN1|ROCK2,BRD-K19333160-001-01-3
CDK1,BRD-K07762753-001-05-1
CDK1,BRD-K14560436-001-01-4
CDK1,BRD-K20986415-001-02-6
CDK1,BRD-K50836978-001-03-3
CDK1,BRD-K64800655-001-09-0
CDK2,BRD-K06426971-001-02-7
CDK2,BRD-K62949423-001-03-1
CDK2,BRD-K07762753-001-05-1
CDK2,BRD-K14560436-001-01-4
CDK2,BRD-K20986415-001-02-6
CDK2,BRD-K34581968-001-05-3
CDK2,BRD-K50836978-001-03-3
CDK2,BRD-K64800655-001-09-0
CDK3|MAP3K7,BRD-K20986415-001-02-6
CDK4,BRD-K06426971-001-02-7
CDK4,BRD-K62949423-001-03-1
CDK4,BRD-K20986415-001-02-6
CDK4,BRD-K50836978-001-03-3
CDK4,BRD-K64800655-001-09-0
CDK4,BRD-K72726508-001-02-1
CDK5,BRD-K07762753-001-05-1
CDK5,BRD-K20986415-001-02-6
CDK5,BRD-K50836978-001-03-3
CDK5,BRD-K64800655-001-09-0
CDK6,BRD-K07762753-001-05-1
CDK6,BRD-K20986415-001-02-6
CDK7|CDK9,BRD-K14560436-001-01-4
CDK7|CDK9,BRD-K20986415-001-02-6
CDK7|CDK9,BRD-K64800655-001-09-0
CFTR,BRD-A30815329-001-12-1
CFTR,BRD-A58048407-001-20-4
CFTR,BRD-K36927236-001-36-7
CHAT|CHRNA10|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|TRPA1,BRD-K01825660-322-01-9
CHEK1,BRD-A37704979-001-12-3
CHEK1,BRD-K45293975-001-02-0
CHEK1,BRD-K54330070-001-19-6
CHEK1,BRD-K62810658-001-11-4
CHEK1,BRD-K86525559-001-07-8
CHEK2,BRD-K86525559-001-07-8
CHRM1|CHRM2|CHRM4,BRD-A48180038-003-24-3
CHRM1|CHRM2|CHRM4,BRD-K18895904-001-16-1
CHRM1|CHRM2|CHRM4,BRD-K68982262-001-01-4
CHRM1|CHRM2|CHRM4,BRD-K70358946-001-17-3
CHRM1|CHRM2|CHRM4,BRD-K72815923-034-02-0
CHRM3,BRD-A48180038-003-24-3
CHRM3,BRD-K18895904-001-16-1
CHRM3,BRD-K68982262-001-01-4
CHRM3,BRD-K70358946-001-17-3
CHRM3,BRD-K72815923-034-02-0
CHRM3,BRD-K80451230-051-02-6
CHRM5,BRD-A48180038-003-24-3
CHRM5,BRD-K18895904-001-16-1
CHRM5,BRD-K70358946-001-17-3
CHRM5,BRD-K72815923-034-02-0
CHRNA2,BRD-K01825660-322-01-9
CHRNA2,BRD-K24616672-003-20-1
CHUK|IKBKB,BRD-K10670311-001-17-1
CHUK|IKBKB,BRD-K59058747-001-19-1
CLCN1|CLCNKA|CLCNKB|PLA2G4A,BRD-K98763141-001-30-8
CLK1,BRD-K66430217-001-03-8
CLK1,BRD-K97072811-001-11-4
CLK3,BRD-K66430217-001-03-8
CLK4,BRD-K97072811-001-11-4
CMA1,BRD-K59325863-001-04-4
CNR1,BRD-K42352790-001-05-3
CNR1,BRD-K50398167-236-22-7
CNR2|GPR18|TRPM8|TRPV1,BRD-K42352790-001-05-3
COMT,BRD-K08953028-001-09-6
COMT,BRD-K12102668-001-25-5
CSF1R,BRD-K15819326-001-01-6
CSF1R,BRD-K74514084-003-09-2
CSF1R,BRD-K86930074-001-05-0
CSK,BRD-K25244359-066-02-6
CSK,BRD-K50495309-001-02-0
CSNK1G3|RPS6KA1,BRD-K50836978-001-03-3
CTNS|SLC3A1|SLC7A9,BRD-A15397381-001-02-5
CTPS1|GLUL|GPRC6A,BRD-K83896451-001-06-7
CTSG,BRD-K59325863-001-04-4
CTSG,BRD-K91188791-001-17-5
CYP19A1,BRD-K01825660-322-01-9
CYP19A1,BRD-K01825690-065-01-9
CYP1A1|CYP2A13,BRD-K63430059-001-16-4
CYP1A2,BRD-K01825690-065-01-9
CYP1A2,BRD-K15502390-001-20-9
CYP1A2,BRD-K63430059-001-16-4
CYP2A6,BRD-A09722536-002-18-0
CYP2A6,BRD-K15502390-001-20-9
CYP2A6,BRD-K23913458-001-20-7
CYP2A6,BRD-K63430059-001-16-4
CYP2B6|CYP2C9,BRD-A09722536-002-18-0
CYP2B6|CYP2C9,BRD-K01825690-065-01-9
CYP2B6|CYP2C9,BRD-K15502390-001-20-9
CYP2C18|CYP2C19|CYP2C8|CYP3A7,BRD-A09722536-002-18-0
CYP2D6,BRD-A09722536-002-18-0
CYP2D6,BRD-A37704979-001-12-3
CYP2D6,BRD-A99888680-001-05-3
